Compound,m.z,method,high.confidence.annotation,compound.name,hmdb,kegg,inchikey,fingerprints
C8p_QI196__NH4_C54:2 TAG,904.8325,C8-pos,True,,,,,
HILp_QI25304__C36:2 PC,786.6024,HILIC-pos,False,"PC(18:0/18:2(9Z,12Z))",HMDB0008039,C00157,,
HILn_TF8__epiandrosterone,289.2173,HILIC-neg,True,Epiandrosterone,HMDB0000365,C07635,QGXBDMJGAMFCBF-LUJOEAJASA-N,11100000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001101000000000000000000000100000000000000000000000111100010100101000001000000000000010000000100000000000000000000000000000001000000000000010000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000100000000000000000000000000000000000000000100000000000000000000
C8p_QI121__C42:0 TAG,745.6318,C8-pos,True,,,,,
C8p_QI39__C36:5 PC plasmalogen,766.5731,C8-pos,False,"PC(P-16:0/20:4(5Z,8Z,11Z,14Z))",HMDB0011220,,,
C8p_QI138__C48:4 TAG,821.6629,C8-pos,True,,,,,
HILp_QI9662__quinine,325.1917,HILIC-pos,True,Quinine,HMDB0014611,C06526,LOUPRKONTZGTKE-VOMFEXJBSA-N,11100000011110110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000101100010110001011000100000000000000000000000000000000000000000101100011111000000000000000000000001111000000000000000000000100000000000000000000000110100111100111000011001111000000110001111101100011011110011000010000001011000000000101000000000001100110100011001110100010000000000100000101000100000100000001100010010001000100000000010001101100000100000001111100110110010011000000011100011011011100010110001001011000110011011100001000111000000101000011001001100000000010001110110001111100000000111101100001110000011111100000011101000000001000000000000010000000000000000000000100000000000000000000000001000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000
C8p_QI118__C38:5 DAG,665.5114,C8-pos,False,"DG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z)/0:0)",HMDB0007199,,,
HILn_QI59__glutamate,146.046,HILIC-neg,True,D-Glutamic acid,HMDB0003339,C00217,WHUUTDBJXJRKMK-GSVOUGTGSA-N,11000000011000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000000101011000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI130__xanthine,151.0263,HILIC-neg,True,Xanthine,HMDB0000292,C00385,LRFVTYWOQMYALW-UHFFFAOYSA-N,10000000011000111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011000000000000000000000000001111000000000000100000000000000000000000000000000100000001000000000011001011000000100000001011011000000010110110010011001000000000000101010000000000100000111011100010111010000000000100000001000000000101101100101110001000010100000000000010101000110000001101010000101010001000000100000000100100000001000010000000100100000100000000101000000000010001000000010000000010100100010010000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI36__butyrate,87.0451,HILIC-neg,True,Butyric acid,HMDB0000039,C00246,FERIUCNNQQJTOY-UHFFFAOYSA-N,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI86__p-hydroxyphenylacetate,151.039,C18-neg,True,p-Hydroxyphenylacetic acid,HMDB0000020,C00642,XQXPVVBIMDBYFF-UHFFFAOYSA-N,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100000000111010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000010000000000000000010001000100000000001000001100000100010001000000010000010011000110010100000100001010100010010100000000111000000000000001001001100000000010001000010001001100000000111100010001100100010100000100011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF8__3'-O-methyladenosine,282.1202,HILIC-pos,True,3'-O-Methyladenosine,HMDB0006023,,,
C18n_QI40__phytanate,311.2958,C18-neg,True,Phytanic acid,HMDB0000801,C01607,RLCKHJSFHOZMDR-UHFFFAOYSA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000110100000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100011100000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI101__C34:3 DAG,613.4803,C8-pos,False,"DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",HMDB0007132,C00165,,
C8p_QI105__C34:1 DAG,617.5115,C8-pos,False,DG(16:0/18:1(9Z)/0:0),HMDB0007102,C13861,YEJYLHKQOBOSCP-OZKTZCCCSA-N,11110000011111000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000100100000000000000000001011000000000000000000010110000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI67__NH4_C16:0 CE,642.6187,C8-pos,True,,,,,
HILp_QI7860__8-hydroxy-deoxyguanosine,284.0996,HILIC-pos,True,8-Hydroxy-deoxyguanosine,HMDB0003333,,,
C8p_QI165__C51:1 TAG,869.7561,C8-pos,False,TG(14:0/15:0/22:1(13Z)),HMDB0042104,,,
HILp_QI2965__N-acetylornithine,175.108,HILIC-pos,True,N-Acetylornithine,HMDB0003357,C00437,JRLGPAXAGHMNOL-LURJTMIESA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000100000000001000100000000000000000001000001011000000000100100000000000000000000100110000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI23__adenine,134.0473,HILIC-neg,True,Adenine,HMDB0000034,C00147,GFFGJBXGBJISGV-UHFFFAOYSA-N,10000000011000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001110000000000000100000000000000000000000000000000100000001000000000010001011100000100000001011111000010111110110010011001000000000000101000000000000100000110011000010110010000000000100000001000000000101101100100010001000010100000000000010101000110100000001010000101010000010000100000000100100000000000010000000100100001000000000101000000010000001000000010000000000000000010010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI57__gemfibrozil,249.1498,HILIC-neg,True,Gemfibrozil,HMDB0015371,C07020,HEMJJKBWTPKOJG-UHFFFAOYSA-N,11100000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000111000000100101000001001100000000010001100100000111010000000000000000000011000000000100010000000001000100000110100100000100000000000000000100000100000000000001000000010000000000000000010001000100000000001000001100000100010001000000011000010011000110010100001000011000100011010100000100111100000100000101001001100000000010001000010001010100000000111100010001110010000111000000011110100000000000000000000010000000000000000000010000000000000000000100000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000
C8p_QI157__C50:1 TAG,855.7404,C8-pos,False,TG(16:0/16:0/18:1(9Z)),HMDB0005360,C00422,,
C8p_QI71__NH4_C18:2 CE,666.6182,C8-pos,True,,,,,
C8p_QI05__C18:2 LPC,520.3395,C8-pos,False,"LysoPC(18:2(9Z,12Z))",HMDB0010386,C04230,,
HILp_TF58__valine,118.0868,HILIC-pos,True,L-Valine,HMDB0000883,C00183,KZSNJWFQEVHDMF-BYPYZUCNSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110100101000110000011000000000000100000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010000000000000000000000000000000000000100000000000000000001000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF44__histidinol,142.0978,HILIC-pos,True,L-Histidinol,HMDB0003431,C00860,ZQISRDCJNBUVMM-YFKPBYRVSA-N,11000000011000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000100000000100000000000000000000000100000101000111000011001011000000110001011011001000000010110110010011001001000000000101000000000000100010100011001110110010000000000000000001000000000101101101100010001001010100000000000010101000110000000001110000111000000001000100000100111100000000010010000001101100100000001100101000100000000000000000011001001000000000010010000000100000000100000101100000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF36__alanylalanine,161.0924,HILIC-pos,False,D-Alanyl-D-alanine,HMDB0003459,C00993,DEFJQIDDEAULHB-SYPWQXSBSA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100100000000000000000000000000000000100000000101000100000000000000000000000001011000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI18__myristate,227.2013,C18-neg,True,Myristic acid,HMDB0000806,C06424,TUNFSRHWOTWDNC-UHFFFAOYSA-N,11100000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_TF2__alpha-glycerophosphate,171.0064,HILIC-neg,True,Glycerol 3-phosphate,HMDB0000126,C00093,AWUCVROLDVIAJX-GSVOUGTGSA-N,11000000010000000011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000100000000000000000100000010100101000001000000000000010000000000000000000000000000000000000001100010000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_TF6__dCMP,306.0497,HILIC-neg,True,dCMP,HMDB0001202,C00239,NCMVOABPESMRCP-SHYZEUOFSA-N,11000000011100110011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000100000000000000000100000010100111000011000000000000110000000010000000000000011010000000000011100010000101010000100000000100010011001100111010010000000100000000000000000000001000000000000001000000000000010000000000000000000000110000000000000010000100000010001000000000010000000001000000000000000000011100100000000000000000001110001011000000010000000110000000000000000101100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"HILp_QI3593__N6,N6,N6-trimethyllysine",189.1601,HILIC-pos,True,"N6,N6,N6-Trimethyl-L-lysine",HMDB0001325,C03793,MXNRLFUSFKVQSK-QMMMGPOBSA-N,11100000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000100000101000110000011000000000000100000000100000100000000011010000000000000000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000000000000001000000000000000000000001000001000000000000000000000000000000000001100110000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI106__ribothymidine,257.0778,HILIC-neg,True,Ribothymidine,HMDB0000884,,,
C8p_QI40__C36:4 PC plasmalogen,768.5879,C8-pos,False,"PC(P-18:1(9Z)/18:2(9Z,12Z))",HMDB0011310,,,
C8p_QI57__C18:0 SM,731.6058,C8-pos,False,SM(d18:1/18:0),HMDB0001348,C00550,,
C8p_QI69__NH4_C18:3 CE,664.6023,C8-pos,True,,,,,
HILp_QI12494__C18:1 carnitine,426.3586,HILIC-pos,True,Oleoylcarnitine,HMDB0005065,,,
C8p_QI122__NH4_C42:0 TAG,740.6762,C8-pos,True,,,,,
C8p_QI110__C36:2 DAG,643.5268,C8-pos,False,DG(18:1(9Z)/18:1(9Z)/0:0),HMDB0007218,C00165,,
C8p_QI09__C20:4 LPC,544.3386,C8-pos,False,"LysoPC(20:4(5Z,8Z,11Z,14Z))",HMDB0010395,C04230,,
HILn_QI41__cinnamoylglycine,204.0669,HILIC-neg,True,Cinnamoylglycine,HMDB0011621,,,
C8p_QI137__NH4_C46:0 TAG,796.7387,C8-pos,True,,,,,
HILp_QI2162__histidine,156.0771,HILIC-pos,True,L-Histidine,HMDB0000177,C00135,HNDVDQJCIGZPNO-YFKPBYRVSA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011001011000000100001011011001100000010110110010011001001000000000101010000000000100010100111101110110110000000000000000001000000000101101101100010001001010100000000000010101000110000001101110000111000000001000100000100110100000010010010000001101100100000001100101000100000000000000000011001001000000000010010000000100000000100000101111000001000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI102__NH4_C34:3 DAG,608.5253,C8-pos,True,,,,,
HILp_QI2598__methionine sulfoxide,166.0537,HILIC-pos,True,Methionine sulfoxide,HMDB0002005,C02989,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,11000000011000100011000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000100000100000000100000000000000000000000100000101000110001011100000000000100100000100000100000000000010000000000001000001010000010000000000000000000100100000000100001000000010000000000000000000000000000000000000000010000000000000000000010000001100000000000000000000000000000100000000000010000001000000000000000000000000000000100000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI49__C2 Ceramide (d18:1),342.3,C8-pos,True,,,,,
C8p_QI159__C50:0 TAG,857.7563,C8-pos,False,TG(16:0/16:0/18:0),HMDB0005357,C00422,,
C8p_QI190__NH4_C54:5 TAG,898.7856,C8-pos,True,,,,,
C18n_QI15__dodecanoate,199.1697,C18-neg,True,Dodecanoic acid,HMDB0000638,C02679,POULHZVOKOAJMA-UHFFFAOYSA-N,11100000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI112__C36:1 DAG,645.5428,C8-pos,False,DG(18:1(9Z)/18:0/0:0),HMDB0007216,,,
HILp_QI322__dimethylglycine,104.071,HILIC-pos,True,Dimethylglycine,HMDB0000092,C01026,FFDGPVCHZBVARC-UHFFFAOYSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000100000000000000000000000000000000000110000011000000000000100000000100000100000000011000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI201__C56:6 TAG,929.755,C8-pos,False,"TG(18:1(9Z)/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0005456,C00422,,
HILp_QI3107__hippurate,180.0649,HILIC-pos,True,Hippuric acid,HMDB0000714,C01586,QIAFMBKCNZACKA-UHFFFAOYSA-N,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000110000000000110000011001100000000100001100000000100010000010110000000000001000000000100010000000001000100001110100100001100000000000100000100000000000000000001001000000000000000000000010001000100010000001100010000000010011001000000010100010000000110010100000001001010100110001100001000010000100001000011000001000011000000000100110001000100110000111000110001000100000000000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI4788__carnosol_isomer,329.1766,C18-neg,True,,,,,
C18n_QI07__9.10-diHOME,313.2387,C18-neg,True,"9,10-DHOME",HMDB0004704,C14828,XEBKSQSGNGRGDW-YFHOEESVSA-N,11110000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000001000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000000100000000000000000001001100000000000000000010010000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI2__1-3-7-trimethylurate,209.0682,HILIC-neg,True,"1,3,7-Trimethyluric acid",HMDB0002123,C16361,BYXCFUMGEBZDDI-UHFFFAOYSA-N,11000000011100111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000001111000000000000100000000000000000000000000000000100000001000000000011000000000000100000000110000000000000011110000000000000000000000100010000000000000000101010100000101000000000000100000000000000000000000000000000000000000000000000000000000000000000000100010000000000001000000100000000100000000000000000000000000000000100000000100000000000000000000000010000000011100100010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI57__glycodeoxycholate,448.3074,C18-neg,True,Deoxycholic acid glycine conjugate,HMDB0000631,C05464,WVULKSPCQVQLCU-BUXLTGKBSA-N,11110000011110100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001111000000000000100000000100000000000000000000000111100010100111000011000000000000110000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100001000000010010000000001000000000100000000001000100000000000000000001000001011000000000100100000000000000000001100110001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000100000000000000000000100000000000000000000
HILp_QI3040__cotinine,177.1025,HILIC-pos,True,Cotinine,HMDB0001046,,,
C8p_QI180__C52:1 TAG,883.7721,C8-pos,False,TG(16:0/18:0/18:1(9Z)),HMDB0005367,C00422,,
C18n_QI32__nonadecanoate,297.28,C18-neg,True,Nonadecanoic acid,HMDB0000772,C16535,ISYWECDDZWTKFF-UHFFFAOYSA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI16__4-methylcatechol,123.0453,HILIC-neg,True,4-Methylcatechol,HMDB0000873,C06730,ZBCATMYQYDCTIZ-UHFFFAOYSA-N,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100100000011010000000000000000000001000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000010000000000000000010001000100000000000000001101000100010001000000010010010011000100010100000100001000100010010100000000111000000000001001001001100000000010001000010011001100000000111100000001100000000010000000011100010000000000000000000010000000000000000000000000100000000000000010000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000
HILp_TF42__methylimidazole acetic acid,141.0661,HILIC-pos,True,Methylimidazoleacetic acid,HMDB0002820,C05828,ZHCKPJGJQOPTLB-UHFFFAOYSA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000000000000100000000000000000000000100000001000110000011001011000000100001011111001100000010111000011000001001000000000101010000000000100010100111101110110110000000000000000001000000000101101001100010001001010100000000000010101000000000001001110000111000000001000100000000110100000011000010000001000110100000000000101000100000000000000000011100100000000000011010000000100000000100000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_TF6__2-hydroxyibuprofen,221.1183,C18-neg,True,,,,,
C18n_QI34__eicosapentaenoate,301.2175,C18-neg,False,Eicosapentaenoic acid,HMDB0001999,C06428,JAZBEHYOTPTENJ-JLNKQSITSA-N,11100000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000000000000000010010000000000000000100000000000000000100000000000000000001001000000000000000000010000000000000000010100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF53__isoleucine,132.1023,HILIC-pos,True,L-Isoleucine,HMDB0000172,C00407,AGPKZVBTJJNPAG-WHFBIAKZSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110100101000110000011000000000000100000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000000100010000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI111__NH4_C36:2 DAG,638.5717,C8-pos,True,,,,,
HILp_QI10949__cortisol,363.2169,HILIC-pos,True,Cortisol,HMDB0000063,C00735,JYGXADMDTFJGBT-VWUMJDOOSA-N,11100000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000010000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001101000000000000000000000100000000000000000000000111101010100101000001000000000000010000000100000000000000000000000000000001000000000100010000000001010100000010100100000000000000010000000000000000000000000001000000000000000000000000000000000100000000001010000000000000001001000000000000001000000010010000000000000000100000000000000000100000000000000000001011000000000000000000010000000000100000011110010001100110011110000110011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000110000000000000000000110000000000000000000
