BIOCHEMICAL,pathway_sortorder,super_pathway,sub_pathway,comp_id,platform,chemical_id,ri,mass,pubchem,cas,kegg,hmdb,inchikey
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,2717,Lipid,Plasmalogen,52716,LC/MS Pos Late,100009162,2550.0,718.5745,11146967,,,HMDB11206,
theanine,4935,Xenobiotics,Food Component/Plant,22206,LC/MS Pos Early,100000784,2180.0,175.1077,439378,3081-61-6,C01047,HMDB34365,
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,3012,Lipid,Dihydrosphingomyelins,52434,LC/MS Pos Late,100008954,2290.0,705.5905,9939965,,,,
feruloylquinate (2),4771,Xenobiotics,Food Component/Plant,63400,LC/MS Neg,100021486,2229.0,367.1035,,,,,
N-oleoylglycine,1771,Lipid,Fatty Acid Metabolism (Acyl Glycine),40467,LC/MS Neg,100003687,5630.0,338.2701,6436908,2601-90-3,,HMDB13631,
dehydroepiandrosterone sulfate (DHEA-S),3247,Lipid,Androgenic Steroids,32425,LC/MS Neg,100000792,4745.0,367.1585,12594,651-48-9,C04555,HMDB01032,
alpha-ketoglutaramate*,45,Amino Acid,Glutamate Metabolism,62101,LC/MS Polar,100002397,1916.0,144.0302,48,18465-19-5,,,
palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,2820,Lipid,Diacylglycerol,52633,LC/MS Pos Late,100009052,3080.0,610.5405,9543695,,,HMDB07103,
phenylalanylalanine,883,Peptide,Dipeptide,41374,LC/MS Pos Early,100003589,2909.0,237.1234,5488196,3918-87-4,,,
pterin,4290,Cofactors and Vitamins,Pterin Metabolism,43023,LC/MS Pos Early,100004216,1805.0,164.0567,73000,22363-60-4,C00715,HMDB00802,
lovastatin hydroxy acid,5552,Xenobiotics,Drug - Metabolic,47877,LC/MS Neg,100005936,5305.0,421.2596,64727,75225-51-3,,,
5-acetylamino-6-formylamino-3-methyluracil,4493,Xenobiotics,Xanthine Metabolism,34401,LC/MS Polar,100001402,1424.0,225.0629,108214,85438-96-6,C16365,HMDB11105,
digalactosylglycerol*,2883,Lipid,Galactosyl Glycerolipids,57346,LC/MS Polar,100003065,3952.0,461.1512,,,,,
1-linoleoyl-2-linolenoyl-digalactosylglycerol (18:2/18:3)*,2896,Lipid,Galactosyl Glycerolipids,54896,LC/MS Pos Late,100010872,2073.0,956.6305,,,,,
homostachydrine*,4798,Xenobiotics,Food Component/Plant,33009,LC/MS Pos Early,100001550,1750.0,158.1176,441447,1195-94-4,C08283,HMDB33433,
"7,12-diketolithocholate",3428,Lipid,Secondary Bile Acid Metabolism,31906,LC/MS Neg,100001070,4215.0,403.249,3080560,517-33-9,,,
"cis-3,4-methyleneheptanoate",1594,Lipid,"Fatty Acid, Branched",64390,LC/MS Neg,100021727,3679.0,141.0921,,,,,
isovalerate (C5),326,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",44656,LC/MS Neg,100000708,1564.0,101.0608,10430,503-74-2,C08262,HMDB00718,
2-methylserine,16,Amino Acid,"Glycine, Serine and Threonine Metabolism",53229,LC/MS Pos Early,100009246,1652.0,120.0655,94309,,C02115,,
salicylate,5714,Xenobiotics,Drug - Topical Agents,1515,LC/MS Polar,501,802.0,137.0242,338,69-72-7,C00805,HMDB01895,
glycochenodeoxycholate 3-sulfate,3383,Lipid,Primary Bile Acid Metabolism,52974,LC/MS Neg,100006641,4820.0,263.6282,,,,,
gabapentin,5591,Xenobiotics,Drug - Neurological,38686,LC/MS Neg,100002806,2407.4,170.1187,3446,60142-96-3,D00332,HMDB05015,
glutamine conjugate of C6H10O2 (2)*,6067,Partially Characterized Molecules,Partially Characterized Molecules,63660,LC/MS Neg,100020262,2526.0,241.1194,,,,,
hippurate,4357,Xenobiotics,Benzoate Metabolism,15753,LC/MS Neg,100000014,2106.9,178.051,464,495-69-2,C01586,HMDB00714,
12-ketolithocholate,3403,Lipid,Secondary Bile Acid Metabolism,63118,LC/MS Neg,100020859,5130.0,389.2697,3080612,5130-29-0,,HMDB00328,
glutarate (C5-DC),1610,Lipid,"Fatty Acid, Dicarboxylate",396,LC/MS Polar,339,2900.0,131.035,743,110-94-1,C00489,HMDB00661,
"2,8-quinolinediol sulfate",4644,Xenobiotics,Food Component/Plant,48691,LC/MS Neg,100004321,2612.0,239.9972,,,,,
eriodictyol,4759,Xenobiotics,Food Component/Plant,39611,LC/MS Neg,100002887,3120.0,287.0561,11095,552-58-9,C05631,HMDB05810,
alpha-hydroxyisocaproate,322,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22132,LC/MS Neg,100000706,1840.0,131.0714,83697,10303-64-7,C03264,HMDB00746,
stigmastadienone,3133,Lipid,Sterol,63060,LC/MS Pos Late,100021199,2688.0,411.3622,6442194,,,,
N-acetylmuramate,1376,Carbohydrate,Aminosugar Metabolism,18354,LC/MS Neg,100000283,860.0,292.1038,5462244,10597-89-4,C02713,HMDB60493,
"N2,N2-dimethylguanine",4099,Nucleotide,"Purine Metabolism, Guanine containing",37081,LC/MS Pos Early,100001853,2465.0,180.088,74047,1445-15-4,,,
"bilirubin (E,E)*",4305,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,32586,LC/MS Pos Late,100001950,1045.0,585.2708,5315454,,,,
glycitein sulfate (2),4790,Xenobiotics,Food Component/Plant,62887,LC/MS Neg,100021092,3400.0,363.01800000000003,,,,,
branched chain 14:0 dicarboxylic acid,1644,Lipid,"Fatty Acid, Dicarboxylate",63191,LC/MS Neg,100021374,3849.0,257.1758,,,,,
ursodeoxycholate sulfate (1),3450,Lipid,Secondary Bile Acid Metabolism,52970,LC/MS Neg,100009261,4328.0,235.1175,,,,,
5-hydroxymethylfurfural,4669,Xenobiotics,Food Component/Plant,37429,LC/MS Pos Early,100002057,1542.0,127.039,237332,67-47-0,C11101,HMDB34355,
N-acetylvaline,386,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1591,LC/MS Neg,1084,1704.0,158.0823,66789,96-81-1,,HMDB11757,
butyrylglycine (C4),1720,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),31850,LC/MS Neg,100001151,1470.0,144.0666,88412,20208-73-5,,HMDB00808,
morphine-3-glucuronide,5233,Xenobiotics,"Drug - Analgesics, Anesthetics",61844,LC/MS Neg,100016052,2495.0,460.1613,5484731,,C16643,HMDB41936,
linolenoyl ethanolamide,2112,Lipid,Endocannabinoid,62746,LC/MS Pos Late,100020840,1488.0,322.2741,5283449,57086-93-8,,HMDB13624,
indole-3-carboxylate,297,Amino Acid,Tryptophan Metabolism,38116,LC/MS Neg,100002185,1710.0,160.0404,69867,771-50-6,C19837,HMDB03320,
margaroylcarnitine (C17)*,1809,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",57512,LC/MS Pos Late,100004054,1424.0,414.3578,,106182-29-0,,HMDB06210,
threonylphenylalanine,948,Peptide,Dipeptide,31530,LC/MS Pos Early,100001125,3077.0,267.1339,4099799,16875-27-7,,HMDB29068,
1-dihomo-linolenylglycerol (20:3),2775,Lipid,Monoacylglycerol,48341,LC/MS Neg,100006121,6400.0,305.2486,,,,,
5-oxoproline,547,Amino Acid,Glutathione Metabolism,1494,LC/MS Neg,1021,738.5,128.0353,7405,98-79-3,C01879,HMDB00267,
N-acetyl-3-methylhistidine*,73,Amino Acid,Histidine Metabolism,43256,LC/MS Pos Early,100002204,2056.0,212.10299999999998,193270,37841-04-6,,,
malonate,1423,Lipid,Fatty Acid Synthesis,15872,LC/MS Polar,818,3447.0,103.0037,867,141-82-2;26522-22-85-0,C00383,HMDB00691,
enterolactone sulfate,4753,Xenobiotics,Food Component/Plant,64041,LC/MS Neg,100020407,3746.0,377.07,,,,,
1-palmitoyl-GPS (16:0)*,2616,Lipid,Lysophospholipid,46130,LC/MS Neg,100005805,5572.0,496.2681,9547100,,,,
"2,6-dihydroxybenzoic acid",5716,Xenobiotics,Drug - Topical Agents,63042,LC/MS Polar,100020837,729.0,153.0193,9338,303-07-1,,HMDB13676,
ethylmalonate,378,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15765,LC/MS Polar,2054,2785.0,131.035,11756,601-75-2,,HMDB00622,
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,2856,Lipid,Diacylglycerol,54956,LC/MS Pos Late,100010923,2650.0,658.5405,,,,,
xanthurenate,267,Amino Acid,Tryptophan Metabolism,15679,LC/MS Neg,100000015,1476.0,204.0302,5699,59-007,C02470,HMDB00881,
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,2205,Lipid,Phosphatidylcholine (PC),52470,LC/MS Pos Late,100008984,2200.0,732.5538,,,,,
N-methyl-GABA,58,Amino Acid,Glutamate Metabolism,39577,LC/MS Pos Early,100003152,2109.0,118.0863,70703,1119-48-8,C15987,,
hexadecenedioate (C16:1-DC)*,1647,Lipid,"Fatty Acid, Dicarboxylate",61862,LC/MS Neg,100019975,4380.0,283.1915,,,,,
daidzein sulfate (2),4979,Xenobiotics,Food Component/Plant,48728,LC/MS Neg,100006363,3330.0,333.0076,,,,,
3-(3-hydroxyphenyl)propionate,4460,Xenobiotics,Benzoate Metabolism,35635,LC/MS Neg,100001624,1980.0,165.0557,91,621-54-5,C11457,HMDB00375,
N6-carbamoylthreonyladenosine,4070,Nucleotide,"Purine Metabolism, Adenine containing",35157,LC/MS Neg,100001415,2164.0,411.12699999999995,161466,24719-82-2,,HMDB41623,
glycerophosphorylcholine (GPC),2163,Lipid,Phospholipid Metabolism,15990,LC/MS Pos Early,100000269,672.0,258.1101,71920,28319-77-9,C00670,HMDB00086,
1-(1-enyl-stearoyl)-GPE (P-18:0)*,2752,Lipid,Lysoplasmalogen,39271,LC/MS Pos Late,100003001,1649.0,466.3292,,,,,
2-hydroxyarachidate*,1913,Lipid,"Fatty Acid, Monohydroxy",61700,LC/MS Neg,100019892,5990.0,327.2905,5225199,,,,
hydroxyproline,481,Amino Acid,Urea cycle; Arginine and Proline Metabolism,32306,LC/MS Pos Early,1001,1064.0,132.0655,5810,51-35-4,C01157,HMDB00725,
cadaverine,131,Amino Acid,Lysine Metabolism,15308,LC/MS Pos Early,100000110,3036.0,103.12299999999999,273,462-94-2;1476-39-7,C01672,HMDB02322,
cotinine,4499,Xenobiotics,Tobacco Metabolite,553,LC/MS Pos Early,848,2213.0,177.1022,854019,486-56-6,,HMDB01046,
1-oleoylglycerol (18:1),2769,Lipid,Monoacylglycerol,21184,LC/MS Neg,100000924,6650.0,281.2486,5283468,111-03-5,,HMDB11567,
2-hydroxypalmitate,1908,Lipid,"Fatty Acid, Monohydroxy",35675,LC/MS Neg,100001579,5511.2,271.2279,92836,764-67-0,,HMDB31057,
2-stearoyl-GPE (18:0)*,2585,Lipid,Lysophospholipid,41220,LC/MS Neg,100003901,6350.0,480.3096,53480667,,,HMDB11129,
"N6,N6-dimethyllysine",112,Amino Acid,Lysine Metabolism,62862,LC/MS Pos Early,100020417,2831.0,175.1441,193344,2259-86-1,C05545,HMDB13287,
taurochenodeoxycholate,3371,Lipid,Primary Bile Acid Metabolism,18494,LC/MS Neg,1629,5250.0,498.2895,387316,6009-98-9,C05465,HMDB00951,
3-hydroxysuberate,1921,Lipid,"Fatty Acid, Monohydroxy",31936,LC/MS Neg,100001143,644.0,189.0768,22328017,73141-47-6,,HMDB00325,
2'-deoxyadenosine 5'-monophosphate,4073,Nucleotide,"Purine Metabolism, Adenine containing",46333,LC/MS Pos Early,100000485,1284.0,332.0755,12599,653-63-4,C00360,HMDB00905,
"1,2,3-benzenetriol sulfate (2)",5943,Xenobiotics,Chemical,48762,LC/MS Neg,100006374,1709.0,204.9812,,,,,
nonadecanoate (19:0),1467,Lipid,Long Chain Saturated Fatty Acid,1356,LC/MS Neg,892,6068.0,297.2799,12591,646-30-0,C16535,HMDB00772,
S-carboxyethylcysteine,428,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",64177,LC/MS Pos Early,100021530,1785.0,194.0482,,4033-46-9,,,
N-propionylmethionine,404,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",43506,LC/MS Neg,100004125,2290.0,204.07,103692,52811-70-8,,,
ribitol,1220,Carbohydrate,Pentose Metabolism,15772,LC/MS Polar,100000406,1789.6,151.0612,6912,488-81-3,C00474,HMDB00508,
(3'-5')-cytidylylguanosine,4191,Nucleotide,Dinucleotide,52745,LC/MS Neg,100009063,1537.0,587.1257,65101,2382-65-2,,,
estriol,3357,Lipid,Estrogenic Steroids,17662,LC/MS Neg,100000041,4291.0,287.1653,5756,50-27-1,C05141,HMDB00153,
5-dodecenoylcarnitine (C12:1),1824,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",61769,LC/MS Pos Late,100016069,1135.0,342.2639,,,,HMDB13326,
4-acetamidophenylglucuronide,5186,Xenobiotics,"Drug - Analgesics, Anesthetics",15736,LC/MS Neg,100000043,1400.0,326.0881,83944,120595-80-4,,HMDB10316,
N-acetylhomocitrulline,493,Amino Acid,Urea cycle; Arginine and Proline Metabolism,62707,LC/MS Pos Early,100020513,1363.0,232.1292,,,,,
adipate,1616,Lipid,"Fatty Acid, Dicarboxylate",21134,LC/MS Polar,100000863,3000.0,145.0506,196,124-04-9,C06104,HMDB00448,
"1,2-dilinoleoyl-galactosylglycerol (18:2/18:2)*",2894,Lipid,Galactosyl Glycerolipids,54899,LC/MS Pos Late,100010879,2415.0,796.5933,6535011,,,,
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",6097,Partially Characterized Molecules,Partially Characterized Molecules,63615,LC/MS Neg,100021666,4805.0,169.1234,,,,,
dibutyl sulfosuccinate,5983,Xenobiotics,Chemical,63841,LC/MS Neg,100021538,3557.0,309.1013,423891,5144-51-4,,,
mannitol/sorbitol,1307,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",46142,LC/MS Polar,100001740,2320.0,181.0718,5780,,C00794,HMDB00247,
lithocholic acid sulfate (2),3405,Lipid,Secondary Bile Acid Metabolism,62527,LC/MS Neg,100020824,5028.0,227.12,,,,,
phytanate,4861,Xenobiotics,Food Component/Plant,598,LC/MS Neg,466,5908.0,311.2956,26840,14721-66-5,C01607,HMDB00801,
3-formylindole,4652,Xenobiotics,Food Component/Plant,62863,LC/MS Neg,100020219,3709.0,144.0455,10256,487-89-8,C08493,HMDB29737,
nicotianamine,4846,Xenobiotics,Food Component/Plant,43026,LC/MS Pos Early,100004035,1800.0,304.1503,9882882,34441-14-0,C05324,,
dihomolinolenate (20:3n3 or 3n6),1523,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),35718,LC/MS Neg,100001739,5596.0,305.2486,5280581,17046-59-2,C03242,HMDB02925,
acisoga,519,Amino Acid,Polyamine Metabolism,43258,LC/MS Pos Early,100004541,1813.0,185.1285,129397,106692-36-8,,,
phenethylamine,151,Amino Acid,Phenylalanine Metabolism,12142,LC/MS Pos Early,1207,3065.0,122.0964,1001,64-04-0,C05332,HMDB02017,
tauro-beta-muricholate,3375,Lipid,Primary Bile Acid Metabolism,33983,LC/MS Neg,100001250,4774.0,514.2844,168408,25696-60-0,,HMDB00932,
N-formylmethionine,405,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",2829,LC/MS Neg,194,1543.8,176.0387,439750,4289-98-9,C03145,HMDB01015,
succinylcarnitine (C4-DC),1401,Energy,TCA Cycle,37058,LC/MS Pos Early,100001948,2291.0,262.1285,71464481,256928-74-2,,HMDB61717,
tetrahydrocorticosterone glucuronide,3210,Lipid,Corticosteroids,64410,LC/MS Neg,100022012,4787.0,525.2705,,,,,
"N,N-dimethylalanine",33,Amino Acid,Alanine and Aspartate Metabolism,63151,LC/MS Pos Early,100020371,1370.0,118.0863,5488191,2812-31-9,,,
thioproline,5961,Xenobiotics,Chemical,53231,LC/MS Pos Early,100009232,1250.0,134.02700000000002,93176,34592-47-4,,,
cysteine sulfinic acid,436,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",37443,LC/MS Pos Early,100002113,597.0,154.0169,109,207121-48-0,C00606,HMDB00996,
arachidoylcarnitine (C20)*,1811,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",57513,LC/MS Pos Late,100015833,1512.0,456.4047,,,,HMDB06460,
glucuronide of C16H30O4 (1)*,6063,Partially Characterized Molecules,Partially Characterized Molecules,61880,LC/MS Neg,100019989,4215.0,461.2392,,,,,
"5,6-dihydrouracil",4137,Nucleotide,"Pyrimidine Metabolism, Uracil containing",1559,LC/MS Neg,1125,1120.0,113.0357,649,504-07-4,C00429,HMDB00076,
S-methylmethionine,406,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",38127,LC/MS Pos Early,100002183,2555.0,164.074,458,582174,C05319,HMDB38670,
3-hydroxydecanoylcarnitine,1867,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",63358,LC/MS Pos Late,100021141,961.0,332.2432,,,,HMDB61636,
famotidine,5515,Xenobiotics,Drug - Gastrointestinal,42613,LC/MS Pos Early,100003964,2718.0,338.0522,5702160,76824-35-6,D00318,HMDB01919,
S-carboxymethyl-L-cysteine,5743,Xenobiotics,Drug - Other,47897,LC/MS Pos Early,100002324,1490.0,180.0325,1080,638-23-3,C03727,HMDB29415,
dextromethorphan,5703,Xenobiotics,Drug - Respiratory,38301,LC/MS Pos Late,100000740,904.0,272.2009,5362449,18046-32-7,C06947,HMDB01920,
indolepropionate,292,Amino Acid,Tryptophan Metabolism,32405,LC/MS Neg,100001083,2795.0,188.0717,3744,830-96-6,,HMDB02302,
3-(3-hydroxyphenyl)propionate sulfate,4457,Xenobiotics,Benzoate Metabolism,45415,LC/MS Neg,100005391,1294.0,245.0125,187488,86321-32-6,,,
naringin,4992,Xenobiotics,Food Component/Plant,43419,LC/MS Neg,100004271,3740.0,579.1719,5284651,10236-47-2,,,
citraconate/glutaconate,1414,Energy,TCA Cycle,47076,LC/MS Polar,100006438,2600.0,129.0194,,,,,
2-oxo-1-pyrrolidinepropionate,5822,Xenobiotics,Chemical,40452,LC/MS Pos Early,100003265,1600.0,158.0812,3146688,77191-38-9,,,
7-ketolithocholate,3431,Lipid,Secondary Bile Acid Metabolism,43830,LC/MS Neg,100001069,5082.0,389.2697,444262,4651-67-6,,HMDB00467,
"ceramide (d18:2/24:1, d18:1/24:2)*",2966,Lipid,Ceramides,57443,LC/MS Pos Late,100015744,3858.0,646.6133,,,,,
mannonate*,4822,Xenobiotics,Food Component/Plant,62864,LC/MS Polar,100003695,2736.0,195.051,3246006,642-99-9,,,
3-hydroxybenzoate,4382,Xenobiotics,Benzoate Metabolism,15673,LC/MS Polar,100000013,1180.0,137.0244,7420,99-06-9,C00587,HMDB02466,
biliverdin,4307,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,2137,LC/MS Pos Late,250,1016.0,583.2551,5353439,55482-27-4;55482-27-4,C00500,HMDB01008,
"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*",2964,Lipid,Ceramides,57440,LC/MS Pos Late,100015755,3920.0,594.582,,,,,
vanillate,4625,Xenobiotics,Food Component/Plant,35639,LC/MS Neg,100001634,1100.0,167.035,8468,121-34-6,C06672,HMDB00484,
2-linoleoylglycerol (18:2),2786,Lipid,Monoacylglycerol,32506,LC/MS Neg,100000987,6250.0,279.2329,5365676,3443-82-1,,HMDB11538,
O-sulfo-L-tyrosine,5819,Xenobiotics,Chemical,45413,LC/MS Neg,100005384,990.0,260.0234,514186,,,,
ibuprofen,5201,Xenobiotics,"Drug - Analgesics, Anesthetics",17799,LC/MS Neg,1487,4925.0,205.1234,3672,15687-27-1,D00126,HMDB01925,
3-(cystein-S-yl)acetaminophen*,5190,Xenobiotics,"Drug - Analgesics, Anesthetics",34365,LC/MS Pos Early,100001797,2420.0,271.0747,5233914,,,,
alpha-hydroxyisovalerate,392,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",46537,LC/MS Polar,100001300,1052.0,117.0557,99823,600-37-3,,HMDB00407,
prolylglycine,909,Peptide,Dipeptide,40703,LC/MS Pos Early,100003674,2136.0,173.0921,6426709,2578-57-6,,HMDB11178,
lanosterol,3101,Lipid,Sterol,1128,LC/MS Pos Late,395,2687.0,409.3829,246983,79-63-0,C01724,HMDB01251,
maltose,1255,Carbohydrate,Glycogen Metabolism,15586,LC/MS Polar,913,3329.4,387.1144,10991489,6363-53-7,C00208,HMDB00163,
isocaproate (i6:0),1577,Lipid,"Fatty Acid, Branched",22273,LC/MS Neg,100000806,2570.0,115.0765,12587,646-07-1,,HMDB00689,
"N1,N10-dicoumaroylspermidine",4741,Xenobiotics,Food Component/Plant,63856,LC/MS Pos Early,100021504,3125.0,438.2387,,,,HMDB33469,
3-methylurate*,4494,Xenobiotics,Xanthine Metabolism,48252,LC/MS Neg,100004049,1024.0,181.0367,11804,605-99-2,,,
oxypurinol,5565,Xenobiotics,Drug - Metabolic,41726,LC/MS Polar,100002489,1656.0,151.0262,4644,2465-59-0,D02365,HMDB00786,
diaminopimelate,5140,Xenobiotics,Bacterial/Fungal,15130,LC/MS Pos Early,100000115,2569.0,191.1026,439283,1476-39-7;2577-62-0,C00666,HMDB01370,
ribulose/xylulose,1222,Carbohydrate,Pentose Metabolism,48340,LC/MS Polar,100006122,1400.0,149.0455,,,,,
suberoylcarnitine (C8-DC),1854,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)",52990,LC/MS Pos Early,100006627,2964.0,318.1911,,,,,
hesperetin,4794,Xenobiotics,Food Component/Plant,27514,LC/MS Neg,100001039,3679.0,301.0718,72281,41001-90-5,C01709,HMDB05782,
N-acetylcitrulline,472,Amino Acid,Urea cycle; Arginine and Proline Metabolism,48434,LC/MS Neg,100001577,940.0,216.09900000000002,656979,33965-42-3,C15532,HMDB00856,
(R)-salsolinol,209,Amino Acid,Tyrosine Metabolism,38665,LC/MS Pos Early,100002814,2525.0,180.1019,54456,70681-20-8,C09642,HMDB05199,
2-aminophenol sulfate,5101,Xenobiotics,Food Component/Plant,43266,LC/MS Neg,100004322,1677.0,188.0023,181670,,,HMDB61116,
4-guanidinobutanoate,531,Amino Acid,Guanidino and Acetamido Metabolism,15681,LC/MS Pos Early,100000096,2320.0,146.0924,500,463-003;463-00-3,C01035,HMDB03464,
coprostanol,3124,Lipid,Sterol,45986,LC/MS Pos Late,100005346,2850.0,371.3672,221122,360-68-9,,HMDB00577,
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",3041,Lipid,Sphingomyelins,52435,LC/MS Pos Late,100008956,3000.0,799.6687,,,,,
tramadol,5240,Xenobiotics,"Drug - Analgesics, Anesthetics",53241,LC/MS Pos Early,100006381,3288.0,264.1958,33741,27203-92-5,C07153,HMDB14339,
glucuronide of piperine metabolite C17H21NO3 (6)*,4873,Xenobiotics,Food Component/Plant,62293,LC/MS Neg,100020494,4136.0,462.17699999999996,,,,,
tetradecanoylsphingosine (d14:1)*,3079,Lipid,Sphingosines,57493,LC/MS Pos Late,100015812,1134.0,244.2271,,,,,
genistein,4568,Xenobiotics,Food Component/Plant,32448,LC/MS Neg,100001221,3754.0,269.0455,5280961,446-72-0,C06563,HMDB03217,
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,2748,Lipid,Lysoplasmalogen,39270,LC/MS Pos Late,100003000,1558.0,438.2979,,,,,
N-acetylhistamine,98,Amino Acid,Histidine Metabolism,48679,LC/MS Pos Early,100006123,2287.0,154.0975,69602,673-49-4,C05135,HMDB13253,
pregnen-diol disulfate*,3170,Lipid,Pregnenolone Steroids,32562,LC/MS Neg,100001993,3868.0,238.0775,,,,,
LAHSA (18:2/OH-18:0)*,1575,Lipid,Fatty Acid Hydroxyl Fatty Acid,57390,LC/MS Pos Late,100015655,2936.0,580.5299,,,,,
isobutyrylcarnitine (C4),394,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",33441,LC/MS Pos Early,100001055,2810.0,232.1543,168379,25518-49-4,,HMDB00736,
1-palmitoyl-2-linolenoyl-galactosylglycerol (16:0/18:3)*,2887,Lipid,Galactosyl Glycerolipids,54900,LC/MS Pos Late,100010894,2455.0,770.5777,,,,,
alpha-CEHC sulfate,4268,Cofactors and Vitamins,Tocopherol Metabolism,47666,LC/MS Neg,100005972,3090.0,357.1013,,,,,
taurodeoxycholate,3396,Lipid,Secondary Bile Acid Metabolism,12261,LC/MS Neg,1668,5257.4,498.2895,2733768,207737-97-1,C05463,HMDB00896,
glycosyl-N-stearoyl-sphingosine (d18:1/18:0),2971,Lipid,Hexosylceramides (HCER),52234,LC/MS Pos Late,100001882,3053.0,728.6035,,,,,
daidzein,4736,Xenobiotics,Food Component/Plant,32453,LC/MS Neg,100001219,3566.0,253.0506,5281708,486-66-8,C10208,HMDB03312,
bilirubin,4304,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,43807,LC/MS Pos Late,1090,1840.0,585.2708,5280352,635-65-4,C00486,HMDB00054,
7-ketodeoxycholate,3444,Lipid,Secondary Bile Acid Metabolism,31904,LC/MS Neg,100001063,4821.0,405.2646,188292,911-40-0,,HMDB00391,
caprate (10:0),1445,Lipid,Medium Chain Fatty Acid,1642,LC/MS Neg,888,5090.7,171.1391,2969,334-48-5,C01571,HMDB00511,
rosuvastatin,5555,Xenobiotics,Drug - Metabolic,40421,LC/MS Neg,100003272,4500.0,480.161,446157,147098-20-2,D01915,HMDB15230,
tetrahydrocortisol sulfate (1),3221,Lipid,Corticosteroids,62793,LC/MS Neg,100020848,4276.0,445.1902,,,,,
"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",2897,Lipid,Galactosyl Glycerolipids,54891,LC/MS Pos Late,100010877,2046.0,792.562,5282287,,C13871,,
4-ethylcatechol sulfate,4397,Xenobiotics,Benzoate Metabolism,63072,LC/MS Neg,100020536,3379.0,217.0176,,,,,
glycylisoleucine,780,Peptide,Dipeptide,36659,LC/MS Pos Early,100001790,3002.0,189.1234,88079,19461-38-2,,HMDB28844,
N-methylhydantoin,499,Amino Acid,Creatine Metabolism,40006,LC/MS Neg,100002557,1425.0,113.0357,69217,616-04-6,C02565,HMDB03646,
N-carboxymethylalanine,5061,Xenobiotics,Food Component/Plant,63155,LC/MS Pos Early,100021194,905.0,148.0604,2764308,106327-05-3,,,
stearoyl sphingomyelin (d18:1/18:0),3018,Lipid,Sphingomyelins,19503,LC/MS Pos Late,1538,2450.0,731.6062,6453725,85187-10-6;85187-10-6,C00550,HMDB01348,
"5alpha-pregnan-3beta,20alpha-diol disulfate",3190,Lipid,Progestin Steroids,37198,LC/MS Neg,100001988,3962.0,239.0853,,,,,
glycyrrhetinate,4792,Xenobiotics,Food Component/Plant,39789,LC/MS Pos Late,100002856,1494.0,471.3469,18526330,471-53-4,C02283,HMDB11628,
ursodeoxycholate,3411,Lipid,Secondary Bile Acid Metabolism,1605,LC/MS Neg,1135,5055.0,391.2854,31401,128-13-2,C07880,HMDB00946,
"N2,N2-dimethylguanosine",4098,Nucleotide,"Purine Metabolism, Guanine containing",35137,LC/MS Pos Early,100001412,2210.0,312.1303,92919,2140-67-2,,HMDB04824,
taurochenodeoxycholic acid 3-sulfate,3448,Lipid,Secondary Bile Acid Metabolism,62890,LC/MS Neg,100021093,4809.0,288.6195,44263374,,,HMDB02486,
lamivudine,5370,Xenobiotics,Drug - Antiviral,63284,LC/MS Pos Early,100020918,2586.0,230.0594,60825,134678-17-4,D00353,HMDB14847,
phenol sulfate,184,Amino Acid,Tyrosine Metabolism,32553,LC/MS Neg,100001510,2156.0,172.9914,74426,937-34-8,C02180,HMDB60015,
